ID,parent_ID,materialNumber,description,quantity,unitPrice,tax,netAmount,grossAmount

10000000-0000-0000-0000-000000000001,11111111-1111-1111-1111-111111111111,LAP001,Dell Latitude Laptop,2,65000,23400,130000,153400
10000000-0000-0000-0000-000000000002,11111111-1111-1111-1111-111111111111,MOU001,Wireless Mouse,5,800,720,4000,4720

10000000-0000-0000-0000-000000000003,22222222-2222-2222-2222-222222222222,CHA001,Office Chair,4,3000,2160,12000,14160
10000000-0000-0000-0000-000000000004,22222222-2222-2222-2222-222222222222,TAB001,Writing Tablet,2,1500,540,3000,3540

10000000-0000-0000-0000-000000000005,33333333-3333-3333-3333-333333333333,MON001,24 inch Monitor,5,12000,10800,60000,70800
10000000-0000-0000-0000-000000000006,33333333-3333-3333-3333-333333333333,HD001,External Hard Disk,3,2500,1350,7500,8850

10000000-0000-0000-0000-000000000007,44444444-4444-4444-4444-444444444444,PRI001,HP Laser Printer,2,9000,3240,18000,21240
10000000-0000-0000-0000-000000000008,44444444-4444-4444-4444-444444444444,PAP001,A4 Paper Bundle,10,180,324,1800,2124

10000000-0000-0000-0000-000000000009,55555555-5555-5555-5555-555555555555,TOO001,Tool Kit,2,3500,1260,7000,8260
10000000-0000-0000-0000-000000000010,55555555-5555-5555-5555-555555555555,SAF001,Safety Helmet,4,500,360,2000,2360
